area_type,availability,location,size(in BHK),total_sqft,per_Sqft,bath,furnishing,transaction,parking,price
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",3,1295,6875,2,Semi-Furnished,New_Property,1,10000000
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",3,700,6714,2,Semi-Furnished,New_Property,1,4700000
Builder_Floor,Ready_to_move,"J R Designers Floors, Rohini Sector 24",1,350,6714,1,Semi-Furnished,New_Property,1,2400000
Builder_Floor,Ready_to_move,"J R Designers Floors, Rohini Sector 24",2,450,6714,2,Semi-Furnished,New_Property,1,3800000
Builder_Floor,Ready_to_move,"J R Designers Floors, Rohini Sector 24",4,2200,6714,4,Semi-Furnished,New_Property,1,23000000
Builder_Floor,Ready_to_move,"J R Designers Floors, Rohini Sector 24",4,2300,6714,4,Semi-Furnished,New_Property,1,24500000
Builder_Floor,Ready_to_move,"J R Designers Floors, Rohini Sector 24",3,1150,6714,2,Semi-Furnished,New_Property,1,10000000
Builder_Floor,Ready_to_move,"J R Designers Floors, Rohini Sector 24",3,800,6714,2,Semi-Furnished,New_Property,1,5500000
Builder_Floor,Ready_to_move,"J R Designers Floors, Rohini Sector 24",3,850,6714,2,Semi-Furnished,New_Property,1,7000000
Builder_Floor,Ready_to_move,"J R Designers Floors, Rohini Sector 24",3,720,6714,2,Semi-Furnished,New_Property,1,6500000
Apartment,Almost_ready,"The Leela Sky Villas, Patel Nagar",5,4688,28797,4,Unfurnished,New_Property,1,135000000
Apartment,Ready_to_move,"J R Designers Floors, Rohini Sector 24",2,750,6667,2,Semi-Furnished,New_Property,1,5000000
Apartment,Almost_ready,"The Leela Sky Villas, Patel Nagar",4,3901,23840,4,Unfurnished,New_Property,1,93000000
Apartment,Ready_to_move,"Uttam Nagar Floors, Uttam Nagar",3,950,4600,2,Furnished,New_Property,1,4370000
Apartment,Ready_to_move,"Virat Residency, Dwarka Mor",3,1000,4620,2,Unfurnished,New_Property,1,4620000
Apartment,Ready_to_move,"Siddhartha Heights, Dwarka Sector 24",2,850,2235,1,Semi-Furnished,New_Property,1,1900000
Apartment,Ready_to_move,"Find Homes, Greater Kailash 2",4,2400,2235,4,Semi-Furnished,New_Property,1,70000000
Apartment,Ready_to_move,"MTNL Employees House Welfare Society, Dwarka Sector 24",3,1350,3800,2,Unfurnished,New_Property,1,5130000
Apartment,Ready_to_move,"Adarsh Homes, Dwarka Mor",2,540,5000,2,Semi-Furnished,New_Property,1,3000000
Apartment,Ready_to_move,"Delhi Homes Yojana, Dwarka Sector 24",4,1387,4247,4,Unfurnished,New_Property,1,5890000
Apartment,Ready_to_move,"Kushwaha Homes, Uttam Nagar",2,540,6111,2,Semi-Furnished,New_Property,1,3300000
Apartment,Ready_to_move,"Godrej South Estate, Okhla",2,976,25512,2,Furnished,New_Property,1,24900000
Apartment,Ready_to_move,"The Elite Spire, Dwarka Sector 21",3,1050,3524,2,Unfurnished,New_Property,1,3700000
Builder_Floor,Ready_to_move,"APL Builder Floor, Greater Kailash 1",4,2700,22222,3,Semi-Furnished,New_Property,1,60000000
Apartment,Ready_to_move,"Kunj Vihar Apartment, Dwarka Sector 12",3,1500,22222,2,Unfurnished,Resale,1,17400000
Builder_Floor,Almost_ready,Janakpuri Block A3,5,2900,22222,5,Furnished,New_Property,1,51000000
Builder_Floor,Almost_ready,Greater Kailash 2,5,5025,22222,6,Unfurnished,New_Property,4,170000000
Builder_Floor,Almost_ready,"Partap Homes, Bhagwati Vihar, Uttam Nagar",3,1000,22222,2,Semi-Furnished,New_Property,1,5510000
Apartment,Almost_ready,"The Amaryllis, Karol Bagh",3,1135,22222,3,Furnished,Resale,2,25000000
Apartment,Almost_ready,"The Leela Sky Villas, Patel Nagar",3,2306,24718,3,Unfurnished,New_Property,1,57000000
Apartment,Almost_ready,"Diamond Heights Multi Estate, Najafgarh",2,850,24718,2,Semi-Furnished,New_Property,1,2940000
Apartment,Ready_to_move,"Ashirwad Apartments, Dwarka Sector 12",3,1200,24718,3,Semi-Furnished,Resale,1,15500000
Apartment,Ready_to_move,"Sunny Valley Apartments, Dwarka",3,1700,24718,2,Semi-Furnished,Resale,1,17200000
Builder_Floor,Ready_to_move,"Vasant Vihar Builder Floor, Vasant Vihar",4,1800,30556,3,Semi-Furnished,Resale,2,55000000
Apartment,Ready_to_move,Vasant Kunj,2,1100,30556,2,Semi-Furnished,Resale,1,15000000
Builder_Floor,Almost_ready,Greater Kailash 1,4,22050,30556,4,Semi-Furnished,New_Property,2,51000000
Builder_Floor,Ready_to_move,Rohini Sector 24,4,1550,30556,3,Semi-Furnished,New_Property,1,13000000
Builder_Floor,Ready_to_move,Greater Kailash 1,3,1600,18750,3,Semi-Furnished,New_Property,1,30000000
Builder_Floor,Ready_to_move,"Khanpur, Madangir",2,700,18750,2,Semi-Furnished,New_Property,1,2400000
